Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3T6USHRQ8G6K614V5171GNKY3107B9,2019-11-22 01:33:43 -0800,2019-11-22 01:33:43 -0800,Prepayment,Visa (last 4 digits: 4398),A1Z1RKG12A4OY8,14.000,,
3QDGNY2TWP6BJMYMYS6L8L2KE6NFZF,2019-11-24 22:48:31 -0800,2019-11-25 00:21:16 -0800,AssignmentPayment,,A9LXSGXZM4IJE,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3RWE2M8QWHAXPMVDNJKXK2GRPTYN0S
3PI4T9HUA4E1F0PVJ91AHK2NGW9BLJ,2019-11-24 22:48:31 -0800,2019-11-25 00:32:00 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3RWE2M8QWHAXPMVDNJKXK2GRPTYN0S
3K8XLA9XFPI5X3KOBWRZNCQ7BNWHJ3,2019-11-24 23:15:28 -0800,2019-11-25 06:21:53 -0800,AssignmentPayment,,A7QRHHOSXY49A,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3C2NJ6JBKAH4LWYR26OB3Q96MRIN2C
3M2ZD40NDNWYWPGURDTZQTOCXWZD4A,2019-11-24 23:15:28 -0800,2019-11-25 06:34:48 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3C2NJ6JBKAH4LWYR26OB3Q96MRIN2C
3TSEWOT1N34BX9VXSZDZX0NCGTDUX5,2019-11-24 23:22:28 -0800,2019-11-25 07:38:44 -0800,AssignmentPayment,,A24JKHC4HTY6CD,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,39N5ACM9HENFO1V33UGIH2MFSCTP92
33YQ4F1THBUIOG3KZ6MNWUKUY8EQJJ,2019-11-24 23:22:28 -0800,2019-11-25 06:34:48 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,39N5ACM9HENFO1V33UGIH2MFSCTP92
3FPVIP9E9NLEULPLHUN6ZEJTR3NDGN,2019-11-24 23:27:28 -0800,2019-11-25 07:19:39 -0800,AssignmentPayment,,A32Q6TNSAG4U3I,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3PW9OPU9PQK17PR2XJQD6JW3JQH21N
3OKRM9S9JMY5106USF5V6ZYJURB91D,2019-11-24 23:27:28 -0800,2019-11-25 06:34:48 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3PW9OPU9PQK17PR2XJQD6JW3JQH21N
32C3XX91WWPUWAHKHQEMUDNOL03HAO,2019-11-24 23:38:28 -0800,2019-11-25 05:49:20 -0800,AssignmentPayment,,A2MRNA6CNE7EKI,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,384PI804XS1U5ZNIVF1JJWQXCS6S09
38KYXHRBZCXNLATVBDZBFD67PGLCVM,2019-11-24 23:38:28 -0800,2019-11-25 06:34:48 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,384PI804XS1U5ZNIVF1JJWQXCS6S09
3CT73MJJFB5ZXWHMC6DRKJCYKCS460,2019-11-24 23:52:29 -0800,2019-11-25 05:19:21 -0800,AssignmentPayment,,A2X8VQ62EQADWD,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3S0TNUHWKTI6LZ93TTJ9HCAFUNBD8Q
32Q9FX2OVQ180WNOU7E9PEIPDSUZRF,2019-11-24 23:52:29 -0800,2019-11-25 06:34:48 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3S0TNUHWKTI6LZ93TTJ9HCAFUNBD8Q
36YAQILW0NLHV9E6FCJ6ZNC7S7B7VG,2019-11-25 00:16:28 -0800,2019-11-25 05:37:35 -0800,AssignmentPayment,,A2ZY1BYHGB34W5,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3Y5140Z9DXG8Z2O67OMVUVLIB2RPIW
3JB408QX8CYUM4DCJDPR7LCJB1F3IL,2019-11-25 00:16:28 -0800,2019-11-25 06:18:42 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3Y5140Z9DXG8Z2O67OMVUVLIB2RPIW
3CLQTG78SOFHJDFH3IY9X690KHSYZA,2019-11-25 00:30:30 -0800,2019-11-25 08:02:08 -0800,AssignmentPayment,,A1YCZENBDZ5GGZ,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3QY7M81QH7MAZRAUB5DQ7P9A3CZK7K
3M5VA3JQGQO5RTGJY0647AHWGIQUKX,2019-11-25 00:30:30 -0800,2019-11-25 06:18:42 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3QY7M81QH7MAZRAUB5DQ7P9A3CZK7K
3QAVBLMEJX2MERY7XAI0B0M966BXFM,2019-11-25 03:30:28 -0800,2019-11-25 05:10:20 -0800,AssignmentPayment,,AFUUPNBIKHRFZ,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3TMFV4NEP8E5U59UAOOZ90Z01418WG
3O6T48FFY3GVA0X49PAQ2I90G44T2Q,2019-11-25 03:30:28 -0800,2019-11-25 06:18:42 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3TMFV4NEP8E5U59UAOOZ90Z01418WG
3KSDQLAD4XP7PRTHN5ME9H82X45WFS,2019-11-25 03:40:28 -0800,2019-11-25 06:17:13 -0800,AssignmentPayment,,A5WAWW70PYRP,-1.000,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3PXX5PX6LXYRPQ4YCVCHIDSAHRJBA7
37593IMCPAXNZQHB521M9PKZHN6S0G,2019-11-25 03:40:28 -0800,2019-11-25 06:18:42 -0800,FeePayment,,Mechanical Turk,-0.400,31JUPBOORN4MXRZ1G7CVB5MUX4L8LV,3PXX5PX6LXYRPQ4YCVCHIDSAHRJBA7
3RG0704RGPUY7159IIZOCWTRWVOAZ8,2019-11-28 08:25:07 -0800,2019-11-28 08:25:07 -0800,Prepayment,Visa (last 4 digits: 4398),A1Z1RKG12A4OY8,6.480,,
3DQJSF9AUYQDMIZE6WNJJ7VT1MUJTF,2019-11-30 12:37:57 -0800,2019-11-30 12:37:57 -0800,Prepayment,Visa (last 4 digits: 4398),A1Z1RKG12A4OY8,420.000,,
